File,code,PrevDH,Lag,Seg_Start,Seg_End,Word,Word_Start,Word_End,PrevWord,Pre_Seg,Pre_Seg_Start,Pre_Seg_End,Post_Seg,Post_Seg_Start,Post_Seg_End,Window,Vowels_per_Second,gender,birthyear,age,obs,prev
PH00-1-1,0,1,5.436,102.113,102.142,THEN,102.113,102.203,THERE,sp,101.468,102.113,EH,102.142,102.173,1.425,4.211,m,1979,21,0,1
PH00-1-1,0,0,15.009,117.073,117.123,THEN,117.073,117.212,THEN,sp,116.403,117.073,EH,117.123,117.153,2.445,2.045,m,1979,21,0,0
PH00-1-1,1,0,33.916,151.048,151.088,THEY,151.048,151.128,THEN,sp,150.203,151.048,EY,151.088,151.128,2.165,2.771,m,1979,21,1,0
PH00-1-1,1,1,65.889,216.898,216.928,THE,216.898,217.017,THEY,N,216.858,216.898,IY,216.928,217.017,1.45,5.517,m,1979,21,1,1
PH00-1-1,1,9,23.336,240.263,240.323,THEY,240.263,240.353,THE,sp,240.243,240.263,EY,240.323,240.353,1.04,5.769,m,1979,21,1,0
PH00-1-1,1,1,5.43,245.703,245.743,THE,245.703,245.783,THEY,N,245.673,245.703,AH,245.743,245.783,1.46,8.904,m,1979,21,1,1
PH00-1-1,0,1,13.78,259.413,259.493,THE,259.413,259.563,THE,sp,259.133,259.413,AH,259.493,259.563,2.415,2.07,m,1979,21,0,1
PH00-1-1,1,9,44.63,304.083,304.143,THEY,304.083,304.193,THE,sp,301.977,304.083,EY,304.143,304.193,3.784,1.586,m,1979,21,1,0
PH00-1-1,1,1,0.849,304.863,304.932,THE,304.863,305.042,THEY,IY,304.782,304.863,AH,304.932,305.042,1.79,4.469,m,1979,21,1,1
PH00-1-1,1,1,3.551,308.333,308.442,THAT,308.333,308.593,THE,IY,308.203,308.333,AE,308.442,308.533,1.771,4.517,m,1979,21,1,1
PH00-1-1,2,1,11.945,320.428,320.477,THEN,320.428,320.538,THAT,sp,320.128,320.428,EH,320.477,320.508,2.045,2.445,m,1979,21,1,1
PH00-1-1,1,1,12.59,333.048,333.088,THEY,333.048,333.128,THEN,F,332.998,333.048,EY,333.088,333.128,0.92,6.522,m,1979,21,1,1
